TXG
GENI
GMAB
THRM
GERN
ROCK
GILT
GILD
GTLB
GBCI
GKOS
GPN
GLBE
GFS
GLOB
GMED
GDDY
GOGO
GLNG
GS
GDRX
GSHD
GWW
LOPE
GRBK
GDYN
GRND
GO
GH
GWRE
HASI
HALO
HLNE
HROW
HWKN
HAYW
HCA
HCAT
HQY
HTFL
HEI
HELE
JKHY
HSIC
HRI
HTBK
HXL
HLT
HIMS
HNGE
HOLX
HD
HON
HWM
HUBB
HUBS
HUM
JBHT
HUN
HURN
HUT
IIIV
IBTA
ICFI
ICHR
ICLR
IEX
IDXX
IESC
ITW
ILMN
IMAX
IMTX
IMCR
IMNM
IMVT
PI
INDI
INMD
INOD
IOSP
INVA
INGN
INSM
NSP
INSP
PODD
INTA
IART
NTLA
IBKR
IDCC
IPAR
INTU
LUNR
ISRG
IVZ
IOVA
IPGP
IRTC
ITRI
J
JAMF
JANX
JSPR
JBTM
JD
JEF
FROG
JCI
JOUT
JPM
KRMN
KROS
KMTS
KEYS
KNSL
KKR
KLAC
KVYO
KN
KOPN
KRNT
KRRO
KTOS
KRYS
LHX
LRCX
LSTR
LNTH
LSCC
LZ
LGN
LEGN
LDOS
LMND
LEN
LII
LENZ
DRS
LGIH
FWONA
LTH
LIF
LFMD
LFST
LSPD
LLY
LMB
LINC
LIND
LQDA
LFUS
LIVN
LYV
RAMP
LOAR
LOVE
LUCD
LUCK
LULU
LITE
LYFT
MTSI
MDGL
MGNI
MMYT
MBUU
MAMA
MANH
CART
MRVI
MRX
MKTX
MAR
VAC
MLM
MRVL
MTZ
MA
MTDR
MTCH
MTRN
MXL
MEC
MBX
MCD
MDXH
MELI
MRK
MRCY
MTH
META
MTD
MGPI
MIAX
MCHP
MU
MSFT
MIDD
MDXG
MLYS
MIR
MIRM
MCW
MKSI
MNTN
MBLY
MOD
MOH
MCRI
MNDY
MDB
MPWR
MNST
MEG
MOG.A
MLTX
MOS
MSI
MP
MSA
MSCI
MWA
MYRG
MYGN
NDAQ
NTRA
EYE
NGVC
NAVN
NCNO
NATL
NKTR
NEOG
NEO
NP
NRDS
NTES
NFLX
NTGR
NTSK
NBIX
NPCE
NFE
NAMS
NEE
NXT
NKE
LASR
NDSN
NOV
NVMI
NOVT
NVO
NU
NRIX
NTNX
NUVL
NVT
NVDA
NXPI
ORLY
OII
ODD
OKTA
ODFL
OLLI
OMDA
ONON
ON
ONTF
ONDS
OSW
ONTO
OOMA
OPRA
OPRX
ORCL
ORIC
OEC
ORA
KIDS
ORKA
OSIS
OUST
OM
OXM
PACB
PD
PAGS
PLTR
PANW
PZZA
PAR
PKE
PH
PSN
PTRN
PAYC
PCTY
PAY
PAYO
PYPL
PDD
PENN
PERI
PSNL
PFE
PLAB
PHR
PINS
PIPR
PLNT
PL
PLXS
PLRX
PLUG
POOL
POWL
PSIX
AIOT
PRAX
PSMT
PRMB
PRIM
PRVA
PRCT
PCOR
PAL
PGR
PGNY
PLD
PRQR
PTGX
TARA
PRLB
PTC
PTCT
PUBM
LUNG
PCT
QTWO
QGEN
QCOM
QLYS
PWR
QTRX
QNST
RDWR
RMBS
RRC
RPD
RJF
RBC
RDVT
RDDT
RRX
REGN
RLAY
RELY
RGEN
REPL
RSG
RMD
RVMD
RH
RYTM
RNG
RSKD
RIVN
HOOD
RBLX
RKT
RKLB
RCKT
ROK
ROKU
ROL
ROP
ROST
RCL
RTX
RBRK
RUSHA
RXO
RXST
SAIA
CRM
IOT
SNDK
SANM
SRPT
SBAC
SRRK
SDGR
SCHW
SMG
SE
SEE
SMTC
ST
SXT
S
SEPN
SERA
NOW
TTAN
SEZL
SHAK
SN
SHW
FOUR
SHLS
SHOP
SI
SIBN
SGHT
SMWB
SMPL
SSD
SLP
SITE
SITM
SLB
SNAP
SNOW
SOFI
SEDG
SLNO
SGI
SHC
SSTI
SPHR
SRAD
SPOT
SWTX
CXM
SPT
SFM
SPSC
SPXC
SSNC
STAA
LAB
SARO
SXI
SBUX
STEM
SCL
STXS
STRL
STNE
SNEX
STRA
LRN
GPCR
SMMT
SMCI
SGRY
SG
SNDX
SNPS
TCMD
TSM
TTWO
TALK
TALO
TNDM
TPR
TGT
TARS
TASK
TATT
TEL
FTI
TGLS
TDOC
TDY
TEM
TENB
TNC
TER
WULF
TERN
TSLA
TTEK
TEVA
TXRH
TGTX
TMO
TDUP
TKR
TJX
TKO
TOST
TOL
BLD
TTC
TSCO
TTD
TW
TT
TRNS
TDG
TMDX
TRU
TVTX
TMCI
TRVI
TREX
TRMB
TRUP
TTMI
TPB
TBCH
TWFG
TWLO
TWST
TYL
TYRA
UBER
UI
UDMY
UFPT
PATH
ULTA
UCTT
RARE
UNP
QURE
PRKS
URI
UTHR
UNH
U
OLED
UTI
UPST
UPWK
URBN
URGN
MTN
VMI
VRNS
PCVX
VEEV
VTYX
VERA
VCYT
MANE
VCEL
VRSK
VRRM
VERX
VRTX
VRT
DSP
VSAT
VIK
VKTX
VRDN
V
VPG
COCO
VITL
VOYG
VSEC
VMC
WRBY
WMG
WM
WAT
WTS
W
WAY
WFRD
WEAV
WST
WAL
WEX
WLDN
WSC
WING
WTFC
WIX
WOLF
WWW
WWD
WDAY
WYNN
XNCR
XENE
XMTR
XPO
XPOF
XYL
YELP
YETI
YEXT
ZBIO
ZNTL
ZETA
Z
ZIP
ZTS
ZM
GTM
ZS
